Panel ID,Type,"Easting (X, meters)","Northing (Y, meters)"
1,large,623570.4942,5640514.1155
2,large,623570.1442,5640513.3738
3,large,623569.7943,5640512.6320
4,large,623569.4443,5640511.8903
5,large,623569.0944,5640511.1486
6,large,623568.7444,5640510.4068
7,large,623572.3988,5640513.2169
8,large,623572.0489,5640512.4752
9,large,623571.6989,5640511.7334
10,large,623571.3490,5640510.9917
11,large,623570.9990,5640510.2499
12,large,623570.6491,5640509.5082
13,large,623574.3035,5640512.3183
14,large,623573.9535,5640511.5765
15,large,623573.6036,5640510.8348
16,large,623573.2536,5640510.0931
17,large,623572.9037,5640509.3513
18,large,623572.5537,5640508.6096
19,large,623576.2081,5640511.4197
20,large,623575.8582,5640510.6779
21,large,623575.5082,5640509.9362
22,large,623575.1583,5640509.1944
23,large,623574.8083,5640508.4527
24,large,623574.4584,5640507.7109
25,large,623578.1128,5640510.5210
26,large,623577.7628,5640509.7793
27,large,623577.4129,5640509.0375
28,large,623577.0629,5640508.2958
29,large,623576.7130,5640507.5541
30,large,623576.3630,5640506.8123
31,large,623580.0175,5640509.6224
32,large,623579.6675,5640508.8807
33,large,623579.3175,5640508.1389
34,large,623578.9676,5640507.3972
35,large,623578.6176,5640506.6554
36,large,623578.2677,5640505.9137
37,large,623581.9221,5640508.7238
38,large,623581.5722,5640507.9820
39,large,623581.2222,5640507.2403
40,large,623580.8722,5640506.4986
41,large,623580.5223,5640505.7568
42,large,623580.1723,5640505.0151
43,large,623583.8268,5640507.8252
44,large,623583.4768,5640507.0834
45,large,623583.1269,5640506.3417
46,large,623582.7769,5640505.5999
47,large,623582.4269,5640504.8582
48,large,623582.0770,5640504.1165
49,large,623568.2147,5640509.2840
50,large,623567.8647,5640508.5423
51,large,623567.5147,5640507.8005
52,large,623567.1648,5640507.0588
53,large,623566.8148,5640506.3171
54,large,623566.4649,5640505.5753
55,large,623570.1193,5640508.3854
56,large,623569.7694,5640507.6437
57,large,623569.4194,5640506.9019
58,large,623569.0694,5640506.1602
59,large,623568.7195,5640505.4184
60,large,623568.3695,5640504.6767
61,large,623565.9351,5640504.4525
62,large,623565.5852,5640503.7108
63,large,623565.2352,5640502.9690
64,large,623564.8853,5640502.2273
65,large,623564.5353,5640501.4855
66,large,623564.1854,5640500.7438
67,large,623567.8398,5640503.5539
68,large,623567.4898,5640502.8121
69,large,623567.1399,5640502.0704
70,large,623566.7899,5640501.3287
71,large,623566.4400,5640500.5869
72,large,623566.0900,5640499.8452
